method,seed,cond_gender_auc,cond_age_r2,tstr_node_gender_auc,tstr_node_age_r2,n_params,seconds,best_epoch,best_val,test_loss,test_loss_num,test_loss_cat,ks_age,tv_gender,tv_occupation,tv_zip_region,marginal_score,assoc_error,tstr_table_auc,cond_occ_acc,hom_gender_gap,hom_age_gap,dcr_ratio,exact_match,exact_match_real_test,node_gap_gender_agree,node_gap_age_mae
diff_flat,1001,0.5225840336134453,0.2535648216745776,0.5126925770308124,0.17690140891086603,241987.0,12.4,15.0,0.5124433934688568,0.485893152654171,0.4686320126056671,0.017261139350011945,0.10844809322033899,0.06210275423728816,0.09401483050847459,0.08461334745762712,0.08729475635593222,0.11435144144676267,0.5927433473389355,0.2033898305084746,0.019491525423728784,0.058649666206302783,1.1508920471726645,0.1228813559322034,0.1228813559322034,-0.023203839808009552,0.0950427478626068
diff_gnn,1001,0.5219712885154062,0.19648808316525845,0.5001750700280112,0.11017840701280068,255683.0,61.2,70.0,0.47988396883010864,0.4630202353000641,0.4458600655198097,0.017160185612738132,0.06567796610169496,0.015757415254237267,0.1363877118644068,0.08434851694915255,0.07554290254237289,0.11085447980863228,0.6784401260504203,0.211864406779661,0.06313559322033901,0.09308523080595536,1.2425158754157848,0.07627118644067797,0.1228813559322034,-0.05227238638068099,-0.14511024448777654
diff_gnn_shuffled,1001,0.4907212885154062,-0.0044068905007215164,0.4864320728291317,-0.1156776480183408,255683.0,58.5,80.0,0.5125029534101486,0.47833631932735443,0.4612323194742203,0.0171039963606745,0.10963983050847459,0.0022510593220338715,0.09295550847457626,0.07163665254237288,0.0691207627118644,0.08525367877030987,0.6771271008403361,0.1652542372881356,0.06313559322033901,0.18328474718986446,1.1790142122769884,0.1440677966101695,0.1228813559322034,-0.04025798710064499,-0.4039673016349177
diff_gnn_knn,1001,0.5011379551820728,0.21192426615275084,0.4810049019607844,0.13611071552997223,243779.0,14.5,10.0,0.5194620937108994,0.4795980677008629,0.46239862591028214,0.017199451103806496,0.09600105932203384,0.03323622881355934,0.10288665254237286,0.11864406779661017,0.08769200211864406,0.1389691341994857,0.6064863445378151,0.1906779661016949,0.10466101694915253,0.06448782112163104,1.346235258542486,0.08898305084745763,0.1228813559322034,-0.03215839208039595,-0.3395830208489574
probe_real_labels,1002,0.6756827731092437,0.2038747478762981,0.6756827731092437,0.2038747478762981,,,,,,,,,,,,,,,,,,,,,,
marginal_bootstrap,1002,0.4863007703081233,-0.05180823873262641,0.5674894957983193,-0.533402759577323,0.0,0.0,,,,,,0.03217690677966101,0.00503177966101695,0.10434322033898305,0.0871292372881356,0.05717028601694915,0.17681969300705566,0.49794292717086835,0.1694915254237288,0.09067796610169487,0.16832561669857526,1.2587719298245614,0.1059322033898305,0.15254237288135594,0.050277486125693716,0.4728138593070348
row_bootstrap,1002,0.48997724089635847,-0.060319365662462765,0.47155112044817926,-0.18124380408413066,0.0,0.0,,,,,,0.029793432203389814,0.0009269067796610075,0.1137447033898305,0.0949417372881356,0.05985169491525423,0.10454511572085166,0.6542804621848739,0.1652542372881356,0.007627118644067732,0.15265756333140196,0.0,1.0,0.15254237288135594,0.06009449527523625,-1.0982375881205932
diff_uncond,1002,0.554140406162465,-0.0699880995090778,0.38261554621848737,-0.3639762140856857,233123.0,17.8,80.0,0.5038774386048317,0.49437665939331055,0.4769279584288597,0.01744870957918465,0.04025423728813558,0.044756355932203395,0.11983580508474577,0.11679025423728813,0.08040916313559322,0.07241956561086815,0.5517769607843137,0.16101694915254236,0.047457627118643986,0.15393326070008295,1.022391505078486,0.06779661016949153,0.15254237288135594,-0.004537273136343112,-0.11232938353082211
diff_flat,1002,0.546656162464986,0.09340264103758311,0.4213060224089636,0.1360326516892867,241987.0,13.5,25.0,0.4992777556180954,0.4790038987994194,0.4616357460618019,0.017368157394230366,0.0456832627118644,0.0038400423728813526,0.10897775423728812,0.07322563559322033,0.057931673728813554,0.09990706742013329,0.4537377450980392,0.2076271186440678,0.05932203389830504,0.08319970657666789,1.1110341643582644,0.07203389830508475,0.15254237288135594,-0.013761811909404509,1.1898305084745768
diff_gnn,1002,0.5455619747899161,0.12141539216470754,0.3693977591036415,-0.04919429536766362,255683.0,64.7,85.0,0.5007574632763863,0.45641034841537476,0.4390275254845619,0.017382810823619366,0.026615466101694935,0.029396186440677957,0.10725635593220341,0.12301377118644069,0.07157044491525424,0.07433079822908231,0.4991684173669468,0.15254237288135594,0.0661016949152542,0.10256384287032068,0.9817636195752542,0.1228813559322034,0.15254237288135594,-0.02330883455827204,0.0008924553772313715
diff_gnn_shuffled,1002,0.5464810924369748,-0.06007552745770872,0.3877801120448179,-0.19341223499631166,255683.0,66.4,85.0,0.512700729072094,0.4811752587556839,0.4637707620859146,0.017404499696567655,0.06342690677966101,0.022245762711864403,0.11943855932203393,0.12566207627118645,0.08269332627118645,0.076452694999695,0.5179884453781513,0.11864406779661017,0.07245762711864401,0.13631455507024748,1.081717451523546,0.1016949152542373,0.15254237288135594,-0.011991900404979772,-0.030275986200690497
diff_gnn_knn,1002,0.5265668767507004,0.07272792674944706,0.4228816526610645,0.12184914555432336,243779.0,18.7,30.0,0.5174830034375191,0.4868014305830002,0.4695681408047676,0.017233296995982528,0.09904661016949154,0.035884533898305065,0.11347987288135594,0.08832097457627118,0.08418299788135593,0.09226054907817145,0.5090598739495799,0.16101694915254236,0.07881355932203382,0.12490149963556231,1.0865650969529086,0.11016949152542373,0.15254237288135594,-0.010596970151492413,1.6662141892905353
probe_real_labels,1003,0.7158613445378151,0.25624975438928366,0.7158613445378151,0.25624975438928366,,,,,,,,,,,,,,,,,,,,,,
